IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacaoemIESInternacional,UltimaFiliacaoInter,UltimaFiliacaoBR
3317736532048248,4,0,CIENCIAS SOCIAIS APLICADAS,0,2,3,SECRETARIA DE ESTADO DO TRABALHO EMPREGO E PROMOCAO SOCIAL; PASSOS AMP LUNARD ADVOGADOS ASSOCIADOS; SECRETARIA DE ESTADO DO TRABALHO EMPREGO E ECONOMIA SOLIDARIA; ORDEM DOS ADVOGADOS DO BRASIL PARANA; ORDEM DOS ADVOGADOS DO BRASIL SECCIONAL PARANA; {UF} DO PARANA; {F} OPET; {UE} DE PONTA GROSSA; {I} DOS ADVOGADOS BRASILEIROS; REVISTA JURIDICA ELETRONICA DA RTM; {PUC} DE MINAS GERAIS; REVISTA ELETRONICA CEJUR; IEPREV,REVISTA ELETRONICA CEJUR,0,0,
3317763390163110,5,0,CIENCIAS SOCIAIS APLICADAS,1,43,21,{UE} DE MARINGA; FUNDACAO DE ECONOMIA E ESTATISTICA; SECRETARIA DA FAZENDA DO ESTADO DO RIO GRANDE DO SUL; SECRETARIA DO PLANEJAMENTO E GESTAO DO ESTADO DO RIO GRANDE DO SUL; NUCLEO DE ECONOMIA REGIONAL E URBANA DA USP; FUNDACAO {I} DE PESQUISAS ECONOMICAS; {UF} DO PARANA; REVISTA BRASILEIRA DE ESTUDOS REGIONAIS E URBANOS; REVISTA ECONOMIA E TECNOLOGIA; ESTUDOS ECONOMICOS; PESQUISA E PLANEJAMENTO ECONOMICO RIO DE JANEIRO; ECONOMIA APLICADA IMPRESSO; ANALISE ECONOMICA UFRGS ON LINE; REVISTA ECONOMICA DO NORDESTE; ENSAIOS FEE IMPRESSO; COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR; ASSOCIACAO BRASILEIRA DE ESTUDOS REGIONAIS E URBANOS; HABITAT INTERNATIONAL; REVISTA DE ECONOMIA E SOCIOLOGIA RURAL; REVISTA DE ECONOMIA CURITIBA; REVIEW OF DEVELOPMENT ECONOMICS; CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO; FUNDACAO ARAUCARIA DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO; ECONOMIC SYSTEMS RESEARCH; ASSOCIACAO DE CENTROS DE POS GRADUACAO EM ECONOMIA; AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS RS,AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS RS,0,0,
3317779428214532,3,1,CIENCIAS AGRARIAS,1,31,16,EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA; CENTRO VIANEI DE EDUCACAO POPULAR; REFLORESTADORA MONTE CARLO LTDA; BONET MADEIRAS E PAPEIS LTDA; SEIVA FLORESTAS E MADEIRA S A; {UE} PAULISTA JULIO DE MESQUITA FILHO; {F} INTEGRADO DE CAMPO MOURAO; CIENCIA E AGROTECNOLOGIA; CAMPO DIGITL; EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA; RETEC REVISTA DE TECNOLOGIAS OURINHOS; PREFEITURA MUNICIPAL DE CORREIA PINTO; FOSFORO GABOARDI SA; PESQUISA FLORESTAL BRASILEIRA ONLINE; CAMPO DIGITL {F} INTEGRADO DE CAMPO MOURAO; CIENCIA RURAL UFSM IMPRESSO; REVISTA BRASILEIRA DE PLANTAS MEDICINAIS; {UE} DE MARINGA; {CU} INTEGRADO,{F} INTEGRADO DE CAMPO MOURAO; {CU} INTEGRADO,0,0,
3317807243271215,4,0,CIENCIAS EXATAS E DA TERRA; ENGENHARIAS,1,12,9,VOITH AG; ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL; {UF} DE PERNAMBUCO; NACIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION; PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART O JOURNAL OF; RISK ANALYSIS,{UF} DE PERNAMBUCO; RISK ANALYSIS,0,0,580
3317808443296961,4,1,,1,21,4,,,0,0,
3317852660217599,4,1,CIENCIAS DA SAUDE,0,6,3,{I} DO CORACAO DR ELIAS ANTONIO; {U} DE SAO PAULO; HOSPITAL EVANGELICO DE CACHOEIRO DE ITAPEMIRIM; HOSPITAL INFANTIL FRANCISCO DE ASSIS; UNIMED SUL CAPIXABA,HOSPITAL EVANGELICO DE CACHOEIRO DE ITAPEMIRIM,0,0,
3317859231163538,4,1,CIENCIAS HUMANAS; CIENCIAS DA SAUDE,1,15,12,{UE} DE MARINGA; {UF} DE PERNAMBUCO; {U} NORTE DO PARANA; {UE} DE LONDRINA,{UF} DE PERNAMBUCO,0,0,580
3317879529635417,2,0,CIENCIAS SOCIAIS APLICADAS,0,2,6,{IES} DA GRANDE FLORIANOPOLIS; {U} DO SUL DE SANTA CATARINA; FUNDACAO DOS ADMINISTRADORES DE SANTA CATARINA; {F} DE SANTA CATARINA; {UF} DE SANTA CATARINA; REVISTA GESTAO UNIVERSITARIA NA AMERICA LATINA GUAL; EMPREENDEDORISMO NAS RENDAS DE BILRO; REVISTA DE CIENCIAS DA ADMINISTRACAO; REVISTA DE CIENCIAS DA ADMINISTRACAO CADUFSC; REVISTA GESTAO UNIVERSITARIA DA AMERICA LATINA,REVISTA GESTAO UNIVERSITARIA DA AMERICA LATINA,0,0,17749
3317917631698194,4,0,CIENCIAS SOCIAIS APLICADAS,0,8,2,TRIBUNAL REGIONAL FEDERAL DA PRIMEIRA REGIAO; MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS; {UE} DO TOCANTINS; POLICIA MILITAR DO ESTADO DE MINAS GERAIS; JURIDICO CURSO PREPARATORIO; INTERJURIS RECICLAGEM JURIDICA; FUNDACAO {UF} DO TOCANTINS; ACADEMIA DE POLICIA MILITAR DE MINAS GERAIS; {ES} DOM HELDER CAMARA; JUSTICA EM REVISTA; {F} DE DIREITO DO VALE DO RIO DOCE; ASSOCIACAO DOS JUIZES FEDERAIS DE MINAS GERAIS; REVISTA ONLINE FADIVALE,{ES} DOM HELDER CAMARA,0,0,2849
3317938317473539,4,0,CIENCIAS DA SAUDE; CIENCIAS EXATAS E DA TERRA,0,15,6,{UE} DE CAMPINAS; MEDICINA RIBEIRAO PRETO ONLINE; {PUC} DE SAO PAULO,{PUC} DE SAO PAULO,0,0,546
