IDLattes,DuracaoDoutorado,Genero,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,HistoricoFiliacaoemIESInternacional
3317736532048248,4.0,0.0,0,2,3.0,0
3317763390163110,5.0,0.0,1,43,21.0,0
3317779428214532,3.0,1.0,1,31,16.0,0
3317807243271215,4.0,0.0,1,12,9.0,0
3317808443296961,4.0,1.0,1,21,4.0,0
3317852660217599,4.0,1.0,0,6,3.0,0
3317859231163538,4.0,1.0,1,15,12.0,0
3317879529635417,2.0,0.0,0,2,6.0,0
3317917631698194,4.0,0.0,0,8,2.0,0
3317938317473539,4.0,0.0,0,15,6.0,0
3317951774132214,4.0,1.0,1,63,20.0,1
3317953407482192,4.0,1.0,1,4,4.0,0
3318015586866473,3.0,1.0,0,10,8.0,0
3318039418411730,4.0,0.0,1,18,21.0,0
3318052871162230,4.0,1.0,1,9,10.0,0
3318058969387615,4.0,1.0,0,7,7.0,0
3318085652654563,3.0,0.0,1,26,19.0,1
3318092155976689,4.0,0.0,1,1,4.0,0
3318249404836724,3.0,1.0,1,5,3.0,0
3318254935346857,4.0,1.0,1,5,14.0,0
3318273080797000,4.0,1.0,1,2,5.0,0
3318298991459199,4.0,0.0,0,5,4.0,0
3318321557058533,4.0,1.0,1,5,1.0,0
3318370647187875,7.0,1.0,0,1,7.0,1
3318394340027474,4.0,1.0,1,58,23.0,0
3318481237807704,5.0,1.0,1,2,13.0,0
3318503909491827,3.0,0.0,0,7,7.0,0
3318505161162217,4.0,1.0,0,3,4.0,0
3318606905446133,5.0,1.0,0,2,9.0,0
3318637589966167,10.0,1.0,1,1,10.0,0
3318641080643496,3.0,0.0,0,42,5.0,1
3318671514822012,3.0,0.0,0,2,6.0,0
3318686683743853,4.0,0.0,1,5,12.0,0
3318707277023349,4.0,0.0,1,98,16.0,0
3318712427966445,2.0,1.0,0,3,2.0,0
3318778220382561,3.0,0.0,0,1,3.0,0
3318783460053911,4.0,1.0,0,11,8.0,0
3318815145783117,4.0,1.0,1,7,14.0,0
3318824168131775,5.0,0.0,0,28,23.0,0
3318842657112869,3.0,1.0,0,1,3.0,0
3318871716111536,4.0,1.0,0,292,36.0,0
3318878067835821,4.0,0.0,1,9,8.0,0
3318931984042786,3.0,1.0,0,43,28.0,0
3318955958064413,4.0,1.0,1,1,4.0,0
3319029976033948,8.0,1.0,0,1,8.0,0
3319100102826587,4.0,0.0,1,4,5.0,0
3319101799280232,5.0,0.0,1,1,7.0,0
3319106101737909,4.0,0.0,1,91,13.0,1
3319116115200375,4.0,1.0,1,1,12.0,0
3319122315612276,3.0,1.0,0,48,10.0,0
3319125898333293,3.0,1.0,1,22,8.0,0
3319127020645168,4.0,1.0,0,6,4.0,0
3319170626399751,5.0,0.0,0,4,10.0,0
3319181550749925,5.0,1.0,0,1,5.0,0
3319219995065796,4.0,0.0,1,2,4.0,1
3319229129053018,4.0,0.0,1,9,5.0,0
3319256499971932,4.0,1.0,1,13,15.0,0
3319285678482570,5.0,1.0,1,6,6.0,0
3319293428533441,4.0,1.0,1,6,18.0,0
3319303431365448,3.0,0.0,1,84,14.0,0
3319316321631134,4.0,0.0,1,1,4.0,0
3319334056047273,6.0,0.0,0,1,6.0,0
3319345339608395,4.0,0.0,0,54,11.0,0
3319379394334883,3.0,1.0,1,1,3.0,0
3319485814047124,3.0,0.0,0,1,3.0,0
3319510046087720,6.0,0.0,0,18,26.0,0
3319513588033255,4.0,1.0,1,148,15.0,0
3319519676357340,4.0,0.0,0,2,4.0,0
3319592959138652,6.0,0.0,0,1,6.0,0
3319662950208514,3.0,0.0,0,3,3.0,0
3319690341552281,4.0,1.0,1,5,8.0,0
3319710041908017,4.0,0.0,0,4,13.0,1
3319715037347542,4.0,1.0,0,8,15.0,0
3319736208149420,3.0,0.0,0,5,4.0,0
3319765375194544,3.0,1.0,0,5,11.0,0
3319767342751521,2.0,1.0,0,29,6.0,0
3319768128172615,4.0,0.0,1,1,4.0,0
3319775283124113,4.0,0.0,1,12,18.0,1
3319782396729432,4.0,1.0,1,1,4.0,0
3319782586394679,4.0,0.0,0,2,4.0,0
3319795080813423,6.0,0.0,0,1,6.0,0
3319815366155563,5.0,0.0,0,11,16.0,0
3319849416288000,2.5,0.0,1,20,22.0,0
3319860545480639,3.0,0.0,1,1,3.0,0
3319942993288491,3.0,0.0,0,14,18.0,0
3319960445251541,1.0,0.0,0,1,1.0,0
3319979476636319,4.0,1.0,1,9,4.0,0
3320028105679374,3.0,1.0,0,15,7.0,0
3320047503985931,3.0,0.0,1,41,32.0,0
3320081448911884,4.0,0.0,1,1,4.0,1
3320109409148329,4.0,1.0,0,3,5.0,0
3320145045271106,4.0,0.0,1,12,9.0,1
3320146784796004,4.0,0.0,1,2,23.0,0
3320182064627767,5.0,0.0,0,83,34.0,0
3320202435049971,4.0,1.0,0,9,8.0,0
3320228209681086,3.0,0.0,0,19,3.0,0
3320248403326897,4.0,0.0,1,53,14.0,1
3320264237493765,4.0,0.0,0,2,13.0,0
3320282857515131,3.0,1.0,0,9,7.0,0
3320327570429539,4.0,0.0,1,94,33.0,0
3320371371020808,1.0,1.0,1,6,6.0,0
3320403711002349,1.0,0.0,0,1,1.0,0
3320433498067620,5.0,1.0,1,24,20.0,0
3320459180028298,4.0,1.0,0,5,3.0,0
3320501153134106,4.0,1.0,1,1,4.0,0
3320591682336720,4.0,0.0,0,3,10.0,0
3320635841605019,5.0,1.0,0,25,28.0,0
3320687589856628,4.0,1.0,1,10,11.0,1
3320695657434364,4.0,0.0,0,7,5.0,0
3320701793357808,2.0,0.0,0,23,1.0,0
3320749181607289,4.0,0.0,1,10,8.0,0
3320789957111473,4.0,1.0,1,9,6.0,0
3320840816242384,4.0,1.0,1,7,17.0,0
3320864175486883,4.0,1.0,1,5,3.0,0
3320969550646286,5.0,1.0,1,13,4.0,0
3320990731540147,4.0,1.0,0,2,4.0,0
3320993100846710,4.0,0.0,1,10,10.0,0
3321022618020622,4.0,1.0,0,16,7.0,0
3321059172343690,4.0,0.0,1,9,18.0,0
3321092177543795,4.0,0.0,1,8,2.0,0
3321150229243304,4.0,0.0,1,1,4.0,1
3321183192706804,5.0,1.0,0,6,5.0,0
3321211874573625,3.0,0.0,0,10,9.0,0
3321266808946310,4.0,1.0,0,11,14.0,0
3321284124312138,4.0,0.0,0,114,41.0,1
3321306895345952,4.0,0.0,1,5,4.0,1
3321318440347588,3.0,1.0,0,7,6.0,0
3321321922162821,4.0,0.0,1,24,6.0,0
3321348977363164,5.0,1.0,0,13,16.0,0
3321352215268845,4.0,0.0,1,3,1.0,0
3321395861261839,2.0,0.0,1,2,2.0,0
3321511531119303,4.0,0.0,0,7,14.0,0
3321527696885052,4.0,0.0,1,1,4.0,0
3321555908656374,2.0,1.0,1,17,3.0,0
3321567340478582,4.0,0.0,0,194,24.0,1
3321577431881283,4.0,0.0,1,47,33.0,0
3321578996501111,4.0,0.0,0,4,9.0,1
3321599747366483,4.0,0.0,1,6,10.0,0
3321610798265393,4.0,1.0,1,45,28.0,0
3321645066541121,1.0,0.0,0,14,11.0,0
3321652451642202,9.0,1.0,1,38,32.0,0
3321664090863177,4.0,1.0,1,9,6.0,0
3321665975539163,3.0,1.0,0,1,11.0,0
3321694448032184,3.0,1.0,1,22,12.0,0
3321706750568197,3.0,1.0,0,60,11.0,0
3321727021689564,4.0,0.0,1,28,15.0,1
3321769634188416,4.0,1.0,1,13,10.0,0
3321808081741550,3.0,0.0,0,9,3.0,0
3321809257390602,4.0,0.0,1,9,5.0,1
3321812749840851,4.0,1.0,1,14,9.0,1
3321848865747224,2.0,0.0,1,95,13.0,0
3321896976907990,4.0,1.0,1,7,9.0,0
3321947327740091,3.0,0.0,1,5,6.0,0
3321951631983020,4.0,1.0,0,30,11.0,0
3321979488092801,3.0,0.0,0,1,3.0,0
3321989136319976,4.0,1.0,1,6,2.0,0
3322003433142392,4.0,1.0,0,19,4.0,0
3322052644282991,4.0,0.0,1,3,6.0,0
3322090825339447,4.0,1.0,1,1,3.0,0
3322110694149388,3.0,0.0,1,18,13.0,0
3322191249594952,4.0,0.0,1,4,16.0,0
3322202024104997,4.0,0.0,0,6,14.0,0
3322210966033428,4.0,0.0,1,43,26.0,0
3322255992735977,4.0,0.0,1,2,7.0,0
3322258614424921,6.0,1.0,1,1,6.0,0
3322317965871638,4.0,0.0,1,59,18.0,0
3322324183959154,5.0,1.0,1,12,6.0,1
3322328645821225,4.0,0.0,1,2,5.0,0
3322409815207121,4.0,0.0,1,39,19.0,0
3322414202275652,5.0,0.0,1,60,17.0,1
3322427168552293,3.0,0.0,1,308,49.0,0
3322436504425467,4.0,1.0,1,11,5.0,0
3322475929548290,4.0,0.0,1,6,4.0,0
3322580659463857,5.0,1.0,1,11,9.0,0
3322586281761972,4.0,0.0,1,9,4.0,0
3322615178606123,4.0,0.0,0,13,29.0,0
3322617152883131,4.0,0.0,1,14,6.0,0
3322628261671731,4.0,1.0,1,4,7.0,1
3322637911743278,5.0,0.0,1,29,13.0,0
3322639097507507,4.0,1.0,0,2,13.0,0
3322678742237901,4.0,1.0,1,6,5.0,0
3322694642295544,5.0,0.0,0,1,5.0,0
3322697650011984,2.0,0.0,0,23,7.0,0
3322734572169772,5.0,1.0,1,5,3.0,0
3322742954079991,4.0,0.0,0,10,14.0,0
3322810967931688,4.0,1.0,1,10,14.0,0
3322826077364643,4.0,0.0,1,24,4.0,0
3322837194678452,4.0,0.0,0,1,4.0,1
3322864565813587,5.0,0.0,1,28,25.0,0
3322866418762363,4.0,0.0,1,5,9.0,0
3322872875785944,4.0,1.0,0,26,17.0,0
3322898048457708,5.0,0.0,0,10,1.0,0
3322908028637904,3.0,1.0,0,11,21.0,0
3322914019440460,4.0,0.0,1,3,4.0,0
3322914857605786,4.0,0.0,1,23,14.0,0
3322915950273070,4.0,0.0,1,4,4.0,0
3322925211023207,6.0,0.0,0,33,27.0,0
3322930534301413,4.0,0.0,1,9,9.0,0
3322954597724927,4.0,0.0,1,13,6.0,0
3322960224458288,10.0,1.0,0,1,5.0,0
3322998145307415,4.0,1.0,1,6,6.0,0
3323038834894198,4.0,1.0,0,7,8.0,0
3323087837330554,5.0,0.0,0,13,11.0,0
3323090144434815,6.0,0.0,1,13,8.0,0
3323092727333362,5.0,0.0,1,64,24.0,1
3323124954214326,4.0,1.0,1,47,22.0,0
3323142326334335,4.0,0.0,1,7,6.0,0
3323151398463447,4.0,0.0,0,1,4.0,0
3323178371725040,4.0,1.0,1,3,14.0,0
3323231841713999,5.0,1.0,0,2,2.0,0
3323267148663798,4.0,1.0,1,17,5.0,0
3323317457593344,3.0,0.0,1,2,5.0,0
3323397621644430,4.0,1.0,0,8,8.0,0
3323417707721098,4.0,0.0,1,86,27.0,0
3323464073007905,3.0,0.0,1,67,10.0,0
3323557941512110,5.0,0.0,0,1,5.0,0
3323584335424117,3.0,0.0,1,5,10.0,0
3323613104755609,4.0,1.0,1,28,12.0,1
3323708991010013,3.0,0.0,0,54,20.0,1
3323783518098552,5.0,0.0,1,1,5.0,0
3323784600707192,4.0,0.0,1,14,11.0,0
3323820506979391,8.0,1.0,1,3,7.0,0
3323828146521581,4.0,0.0,0,1,4.0,0
3323835059496707,5.0,0.0,1,6,5.0,0
3323915046024196,3.0,0.0,0,19,11.0,0
3324006962186446,3.0,0.0,0,3,4.0,0
3324013353076620,4.0,0.0,1,11,20.0,0
3324069492175304,2.0,1.0,0,13,18.0,1
3324083094904117,6.0,1.0,1,95,28.0,0
3324087992932777,3.0,0.0,1,11,4.0,0
3324110435274681,4.0,1.0,0,1,4.0,0
3324125464769923,4.0,1.0,1,2,5.0,1
3324193224582884,3.0,1.0,1,47,15.0,0
3324214069074638,4.0,1.0,0,6,11.0,0
3324231784334779,4.0,0.0,1,7,4.0,0
3324266613856962,3.0,1.0,1,38,11.0,1
3324269321537765,4.0,0.0,1,41,34.0,1
3324315227514307,4.0,1.0,1,3,3.0,0
3324346857188231,4.0,1.0,1,36,24.0,0
3324369313216156,3.0,0.0,0,96,15.0,0
3324387217720166,3.0,1.0,1,61,48.0,1
3324430832612696,4.0,0.0,1,6,8.0,1
3324443219231366,4.0,1.0,1,7,6.0,0
3324489027928883,4.0,1.0,1,4,10.0,0
3324554734888413,4.0,0.0,1,38,34.0,0
3324587452325625,4.0,0.0,1,5,5.0,1
3324603302348023,4.0,1.0,0,39,20.0,0
3324632166930389,4.0,0.0,1,13,11.0,0
3324661450996183,4.0,0.0,1,31,5.0,0
3324667562059112,4.0,1.0,0,11,6.0,0
3324751665878005,4.0,0.0,0,1,4.0,0
3324782423764278,4.0,0.0,0,7,4.0,0
3324782673122293,5.0,1.0,1,6,4.0,0
3324915960330846,6.0,1.0,0,1,1.0,0
3324980191800857,3.0,0.0,0,3,7.0,0
3325004823298412,3.0,1.0,0,16,8.0,0
3325013688415322,4.0,0.0,0,29,10.0,0
3325112060975727,3.0,0.0,0,9,9.0,1
3325140552805016,4.0,0.0,1,3,4.0,0
3325279144865708,3.0,0.0,1,8,5.0,0
3325289713373534,3.0,0.0,1,11,6.0,0
3325310459390377,3.0,1.0,1,16,9.0,0
3325320531614840,5.0,0.0,1,1,5.0,0
3325403116211761,4.0,1.0,0,31,8.0,0
3325441375860351,4.0,0.0,1,35,22.0,0
3325487662822596,4.0,1.0,1,11,2.0,0
3325519024009786,5.0,0.0,1,18,12.0,0
3325542395822197,5.0,0.0,0,3,6.0,0
3325545692709437,4.0,0.0,1,9,6.0,0
3325571422876308,4.0,1.0,1,2,1.0,0
3325594997650814,4.0,0.0,1,15,12.0,1
